manufacturer,model,year,mileage,engine,transmission,drivetrain,fuel_type,mpg,exterior_color,interior_color,accidents_or_damage,one_owner,personal_use_only,seller_name,seller_rating,driver_rating,driver_reviews_num,price_drop,price
Acura,NSX Type S,2022,4,3.5L V6 24V PDI DOHC Twin Turbo Hybrid,9-Speed Automatic with Auto-Shift,All-wheel Drive,Hybrid,21-22,Long Beach Blue Pearl,Ebony,0,1,0,Response Motors,,,0,,275000
Acura,NSX Base,2021,850,3.5L V6 24V PDI DOHC Twin Turbo Hybrid,9-Speed Automatic with Auto-Shift,All-wheel Drive,Hybrid,21-22,White,Red,0,0,1,HGreg.com Lux,4.7,,0,,175000
Acura,NSX Base,2017,20946,3.5L V6 24V PDI DOHC Twin Turbo Hybrid,9-Speed Automatic with Auto-Shift,All-wheel Drive,Hybrid,21-22,Black,Red,0,0,1,Ace Motorsports,,4.8,17,,149995
Acura,NSX Base,2017,5436,3.5L V6 24V PDI DOHC Twin Turbo Hybrid,9-Speed Automatic with Auto-Shift,All-wheel Drive,Hybrid,21-22,Blue,Black,0,0,1,Toy Barn,4.2,4.8,17,2000,149990
Acura,NSX T,1999,22801,3.2L V6 24V MPFI DOHC,6-Speed Manual,Rear-wheel Drive,Gasoline,17-24,Silver Metallic,Onyx,0,0,1,Belle Meade Auto Brokers,,4,1,,139760
Acura,NSX Type S,2022,51,3.5L V6 24V PDI DOHC Twin Turbo Hybrid,9-Speed Automatic with Auto-Shift,All-wheel Drive,Hybrid,21-22,Long Beach Blue Pearl,Orchid,0,1,1,McLaren Boston,,,0,25000,258790
Acura,NSX T,2004,18183,3.2L V6 24V MPFI DOHC,6-Speed Manual,Rear-wheel Drive,Gasoline,17-24,Silverstone Metallic,Onyx,0,0,1,Diamond Motorworks,4.5,4.8,2,2000,163800
Acura,NSX Base,2017,21074,3.5L V6 24V PDI DOHC Twin Turbo Hybrid,9-Speed Automatic with Auto-Shift,All-wheel Drive,Hybrid,21-22,Berlina Black,Red,1,1,1,Texas Hot Rides,3.6,4.8,17,,127991
Acura,NSX Base,2019,9250,"3.5L V-6 port/direct injection, DOHC, VTC variable valve control",Automatic,All-wheel Drive,Gasoline,21-22,Black,Red,0,1,0,Ilusso Miami,,5,3,,174980
Acura,NSX,1991,30192,3.0L V6 24V DOHC,5-Speed Manual,Rear-wheel Drive,Gasoline,,White,Red,0,0,0,Audi Fresno,4.7,4.7,3,,119887
Acura,NSX,1992,32967,3.0L V6 24V SPFI DOHC,5-Speed Manual,Rear-wheel Drive,Gasoline,19-24,Black,Beige,1,0,1,Sanford Honda,3.2,4.8,5,,69500
Acura,NSX SH-AWD Sport Hybrid,2017,22716,"3.5L V-6 port/direct injection, DOHC, VTC variable valve control",Automatic,All-wheel Drive,Gasoline,21-0,Berlina Black,Ebony,0,1,1,Metro Acura,4.7,4.8,17,,134788
Acura,NSX Base,2017,23530,3.5L V6 24V PDI DOHC Twin Turbo Hybrid,9-Speed Automatic with Auto-Shift,All-wheel Drive,Hybrid,21-22,Red Pearl,Ebony,0,0,1,Luxury Auto Works,2.8,4.8,17,,128995
Acura,NSX SH AWD Sport Hybrid 2dr Coupe,2017,9700,3.5L V6 Twin Turbocharger,Automatic 9-Speed,All-wheel Drive,Hybrid,22-22,Berlina Black,Ebony,0,1,1,Prestige Annapolis LLC,,4.8,17,,169500
Acura,NSX Base,2021,1379,3.5L V6 24V PDI DOHC Twin Turbo Hybrid,9-Speed Automatic with Auto-Shift,All-wheel Drive,Hybrid,21-22,Indy Yellow Pearl,Ebony,0,1,1,University Mitsubishi - FL,4.2,,0,500,165126
Acura,NSX Sport,1991,58800,,Manual,Rear-wheel Drive,Gasoline,0-0,Red,,0,0,0,Ed Martin Acura,4.8,4.7,3,1460,92577
Acura,NSX Base (DCT),2019,6386,3.5L V6 24V PDI DOHC Twin Turbo Hybrid,9-Speed Automatic with Auto-Shift,All-wheel Drive,Hybrid,21-22,Orange,Ebony,1,0,1,O'Gara Coach Beverly Hills,,5,3,8000,144990
Acura,NSX Base,2017,13499,3.5L V6 24V PDI DOHC Twin Turbo Hybrid,9-Speed Automatic with Auto-Shift,All-wheel Drive,Hybrid,21-22,Berlina Black,Red,0,0,1,Stevenson Hendrick Mazda Wilmington,4.9,4.8,17,2391,137597
Acura,NSX Base,2017,1125,3.5L V6 24V PDI DOHC Twin Turbo Hybrid,9-Speed Automatic with Auto-Shift,All-wheel Drive,Hybrid,21-22,130R White,Ebony,0,0,1,Piazza Acura of West Chester,4.7,4.8,17,,168898
Acura,NSX Base,2017,6881,3.5L V6 24V PDI DOHC Twin Turbo Hybrid,9-Speed Automatic with Auto-Shift,All-wheel Drive,Hybrid,21-22,,,0,0,1,Nxcess Motorcars,2.6,4.8,17,,139900
Acura,NSX Base,2017,13218,3.5L V6 24V PDI DOHC Twin Turbo Hybrid,9-Speed Automatic with Auto-Shift,All-wheel Drive,Hybrid,21-22,130R White,Ebony,0,0,1,University Mitsubishi - FL,4.2,4.8,17,300,134520
Acura,NSX,1994,21553,3.0L V6 24V SPFI OHV,5-Speed Manual,,Gasoline,19-24,Formula Red,Tan,0,0,1,Diamond Motorworks,4.5,4.9,4,3000,89800
Acura,NSX Type S,2022,1134,3.5L V6 24V PDI DOHC Twin Turbo Hybrid,9-Speed Automatic with Auto-Shift,All-wheel Drive,Hybrid,21-22,Yellow,Red,0,1,1,USI Motors,,,0,,254500
Acura,NSX T,2000,40684,3.0L V6 24V MPFI DOHC,4-Speed Automatic,Rear-wheel Drive,Gasoline,17-24,Berlina Black,Camel,0,0,1,Ogden Lincoln Of Westmont,4.3,4.6,3,1099,88889
Acura,NSX Base,2017,2560,3.5L V6 24V PDI DOHC Twin Turbo Hybrid,9-Speed Automatic with Auto-Shift,All-wheel Drive,Hybrid,21-22,Blue,Ebony,0,1,0,HGreg.com Lux,4.7,4.8,17,,149000
Acura,NSX Type S,2022,23,3.5L V6 24V PDI DOHC Twin Turbo Hybrid,9-Speed Automatic with Auto-Shift,All-wheel Drive,Hybrid,21-22,Blue,Ebony,0,0,0,Ferrari Maserati Alfa Romeo of Fort Lauderdale,4.8,,0,,269900
Acura,NSX Base,2017,33150,3.5L V6 24V PDI DOHC Twin Turbo Hybrid,9-Speed Automatic with Auto-Shift,All-wheel Drive,Hybrid,21-22,Nouvelle Blue Pearl,Ebony,0,1,0,Zeigler Buick GMC of Lincolnwood,4.4,4.8,17,6000,123994
Acura,NSX,2021,902,0 SELECT,SELECT,All-wheel Drive,Hybrid,,Blue,Gray,1,,1,Auto X-Change,1.6,,0,2000,84900
Acura,NSX T,1996,37806,3.0L V6 24V MPFI DOHC,5-Speed Manual,Rear-wheel Drive,Gasoline,18-24,Red,Black,0,0,0,Niello Acura,1.8,5,3,,101900
Acura,NSX Base,2017,6699,3.5L V6 24V PDI DOHC Twin Turbo Hybrid,9-Speed Automatic with Auto-Shift,All-wheel Drive,Hybrid,21-22,Source Silver Metallic,Ebony,0,0,0,Park Place LTD,2.8,4.8,17,,149950
Acura,NSX Base,2018,913,3.5L V6 24V PDI DOHC Twin Turbo Hybrid,9-Speed Automatic with Auto-Shift,All-wheel Drive,Hybrid,21-22,,Sport,0,1,1,Motorcar Classics,3.7,5,1,2000,159900
Acura,NSX Base,2017,4525,3.5L V6 24V PDI DOHC Twin Turbo Hybrid,9-Speed Automatic with Auto-Shift,All-wheel Drive,Hybrid,21-22,Berlina Black,Red,0,1,0,Autosport Acura of Denville,4.9,4.8,17,100,145700
Acura,NSX Base,2020,2647,3.5L V6 24V PDI DOHC Twin Turbo Hybrid,9-Speed Automatic with Auto-Shift,All-wheel Drive,Hybrid,21-22,130R White,Red,0,0,1,Alpha One Motors,,3.8,2,,159555
Acura,NSX T,2005,11636,3.2L V6 24V MPFI DOHC,6-Speed Manual,Rear-wheel Drive,Gasoline,17-24,Rio Yellow Pearl,Onyx,0,0,0,Velocity Motorcars LLC,,4.7,5,,179995
Acura,NSX Base,2017,35700,3.5L V6 24V PDI DOHC Twin Turbo Hybrid,9-Speed Automatic with Auto-Shift,All-wheel Drive,Hybrid,21-22,White,Black,0,0,1,Auto Junction Benz & Beemers,4.7,4.8,17,,122888
Acura,NSX,1991,39658,3.0L V6 24V DOHC,5-Speed Manual,Rear-wheel Drive,Gasoline,,Formula Red,Black,1,0,0,Audi Fresno,4.7,4.7,3,2500,112997
Acura,NSX,1994,31905,3.0L V6 24V SPFI OHV,5-Speed Manual,,Gasoline,19-24,Red,Black,0,0,0,Ilusso,,4.9,4,3000,109000
Acura,NSX Base,2019,19084,3.5L V6 24V PDI DOHC Twin Turbo Hybrid,9-Speed Automatic with Auto-Shift,All-wheel Drive,Hybrid,21-22,Source Silver Metallic,Ebony,0,1,1,Ron Tonkin Gran Turismo,4.4,5,3,,144995
Acura,NSX Base,2021,8600,3.5L V6 24V PDI DOHC Twin Turbo Hybrid,9-Speed Automatic with Auto-Shift,All-wheel Drive,Hybrid,21-22,Thermal Orange Pearl,Ebony,0,1,1,Porsche Arlington,4.3,,0,2100,160495
Acura,NSX Coupe,2017,16108,3.5L,9 speed dual clutch,All-wheel Drive,Hybrid,21-22,Black,Red,0,0,0,Scottsdale Auto Group,4.4,4.8,17,10500,139000
Acura,NSX Base,2017,8953,3.5L V6 24V PDI DOHC Twin Turbo Hybrid,9-Speed Automatic with Auto-Shift,All-wheel Drive,Hybrid,21-22,130R White,Ebony,0,0,1,Falcon Motor Group,4.3,4.8,17,1900,144995
Acura,NSX T,2005,13898,3.2L V6 24V MPFI DOHC,6-Speed Manual,Rear-wheel Drive,Gasoline,17-24,Silverstone Metallic,Onyx,0,0,1,Gulf Coast Motorworks,,4.7,5,,199995
Acura,NSX Base,2017,13681,3.5L V6 24V PDI DOHC Twin Turbo Hybrid,9-Speed Automatic with Auto-Shift,All-wheel Drive,Hybrid,21-22,,Sport,0,0,1,Motorcar Classics,3.7,4.8,17,2000,139900
Acura,NSX,1991,8489,3.0L V6 24V DOHC,4-Speed Automatic,Rear-wheel Drive,Gasoline,,Red,Black,0,0,0,ENVY AUTO GROUP,,4.7,3,15000,149999
Acura,NSX Base,2017,6788,3.5L V6 24V PDI DOHC Twin Turbo Hybrid,9-Speed Automatic with Auto-Shift,All-wheel Drive,Hybrid,21-22,Berlina Black,Ebony,0,0,0,Classic Honda of Midland,4.9,4.8,17,,149600
Acura,NSX Base,2019,8950,3.5L V6 24V PDI DOHC Twin Turbo Hybrid,9-Speed Automatic with Auto-Shift,All-wheel Drive,Hybrid,21-22,Orange,Ebony,0,0,1,Modern Auto Sales,4.9,5,3,11320,168750
Acura,NSX Base,2017,5983,3.5L V6 24V PDI DOHC Twin Turbo Hybrid,9-Speed Automatic with Auto-Shift,All-wheel Drive,Hybrid,21-22,Red,Red,0,0,1,Hiley Acura,,4.8,17,,147672
Acura,NSX Type S,2022,512,3.5L V6 24V PDI DOHC Twin Turbo Hybrid,9-Speed Automatic with Auto-Shift,All-wheel Drive,Hybrid,21-22,Curva Red,Red,0,1,1,Sarchione Auto Gallery,,,0,5000,250000
Acura,NSX Type S,2022,121,3.5L V6 24V PDI DOHC Twin Turbo Hybrid,9-Speed Automatic with Auto-Shift,All-wheel Drive,Hybrid,21-22,Berlina Black,Ebony,0,1,0,Topline Automotive Inc.,,,0,,295000
Acura,NSX Base,2017,6868,3.5L V6 24V PDI DOHC Twin Turbo Hybrid,9-Speed Automatic with Auto-Shift,All-wheel Drive,Hybrid,21-22,Green,Black,0,0,1,Ilusso,,4.8,17,,161900
Acura,NSX Base,2019,3900,"3.5L V-6 port/direct injection, DOHC, VTC variable valve control",Automatic,All-wheel Drive,Gasoline,21-22,Silver,Red,0,1,0,Kabani Motorsports,,5,3,,139900
Acura,NSX Base,2017,8707,3.5L V6 24V PDI DOHC Twin Turbo Hybrid,9-Speed Automatic with Auto-Shift,All-wheel Drive,Hybrid,21-22,Black,Red,0,1,1,Vehicle Warehouse,3.7,4.8,17,,139990
Acura,NSX Base,2018,13836,3.5L V6 24V PDI DOHC Twin Turbo Hybrid,9-Speed Automatic with Auto-Shift,All-wheel Drive,Hybrid,21-22,Curva Red,Ebony,0,0,1,Findlay Honda Henderson,4.7,5,1,1001,140984
Acura,NSX Type S,2022,183,3.5L V6 24V PDI DOHC Twin Turbo Hybrid,9-Speed Automatic with Auto-Shift,All-wheel Drive,Hybrid,21-22,Long Beach Blue Pearl,Ebony,0,1,1,McLaren Charlotte,,,0,10000,259996
Acura,NSX T,2002,40999,3.2L V6 24V MPFI DOHC,6-Speed Manual,Rear-wheel Drive,Gasoline,17-24,Berlina Black,Onyx,0,0,1,UDrive Automobiles,,,0,,134900
Acura,NSX,1991,8762,3.0L V6 24V DOHC,Automatic,Rear-wheel Drive,Gasoline,,Red,,0,0,0,Beverly Hills Car Club,2.4,4.7,3,,108500
Acura,NSX Type S,2022,1038,3.5L V6 24V PDI DOHC Twin Turbo Hybrid,9-Speed Automatic with Auto-Shift,All-wheel Drive,Hybrid,21-22,Black,Red,0,1,1,Toy Barn,4.2,,0,3000,246900
Acura,NSX Base,2017,4022,3.5L V6 24V PDI DOHC Twin Turbo Hybrid,9-Speed Automatic with Auto-Shift,All-wheel Drive,Hybrid,21-22,Source Silver Metallic,Red,0,0,1,SweetCars,5,4.8,17,,145995
Acura,NSX,1992,26287,3.0L V6 24V SPFI DOHC,5-Speed Manual,RWD,Gasoline,19-24,Formula Red,Black,0,0,0,DriveAnything.com,,4.8,5,5000,104950
Acura,NSX T,2001,24055,3.2L V6 24V MPFI DOHC,6-Speed Manual,Rear-wheel Drive,Gasoline,17-24,Silverstone Metallic,Onyx,0,0,1,"ISSIMI, Inc.",,4.1,1,15000,155000
Acura,ZDX Tech Pkg,2010,166095,3.7L V6 24V MPFI SOHC,6-Speed Automatic,All-wheel Drive,Gasoline,16-23,Black,Ebony,1,0,1,Rose City Auto Sales,,4.7,14,500,11495
Acura,ZDX Base,2012,148302,3.7L V6 24V MPFI SOHC,6-Speed Automatic,All-wheel Drive,Gasoline,16-23,Palladium Metallic,Taupe,1,0,1,Honda of Jasper,,4.7,4,,14491
Acura,ZDX,2010,85396,3.7L V6 24V MPFI SOHC,6-Speed Automatic,All-wheel Drive,Gasoline,16-23,Aspen White Pearl,,1,0,1,Naples INFINITI,4.9,4.7,14,,20991
Acura,ZDX,2010,138741,3.7L V6 24V MPFI SOHC,6-Speed Automatic,All-wheel Drive,Gasoline,16-23,Black,,0,0,0,CarTopia,3.9,4.7,14,100,12800
Acura,ZDX Base,2012,110300,3.7L V6 24V MPFI SOHC,6-Speed Automatic,All-wheel Drive,Gasoline,16-23,Black,Tan,0,0,1,A Better Way Wholesale,1.8,4.7,4,,15995
Acura,ZDX Base,2011,150751,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,All-wheel Drive,Gasoline,,White,Beige,,,,,,4.5,8,,11500
Acura,ZDX Base,2012,119984,3.7L V6 24V MPFI SOHC,6-Speed Automatic,All-wheel Drive,Gasoline,16-23,Black,Ebony,1,0,1,Shift Portland,2.1,4.7,4,500,14950
Acura,ZDX,2010,102308,3.7L V6 24V MPFI SOHC,6-Speed Automatic,All-wheel Drive,Gasoline,16-23,Grigio Metallic,Ebony,1,0,1,AutoLenders Exton,3.7,4.7,14,250,16328
Acura,ZDX Base,2012,130000,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,All-wheel Drive,Gasoline,,Black,Brown,,,,,,4.7,4,,26900
Acura,ZDX,2011,90808,3.7L V6 24V MPFI SOHC,6-Speed Automatic,All-wheel Drive,Gasoline,16-23,Gray,,0,0,0,Motor Max of Grand Rapids,2.8,4.5,8,,15675
Acura,ZDX Base,2012,127956,3.7L V6 24V MPFI SOHC,6-Speed Automatic,All-wheel Drive,Gasoline,16-23,Crystal Black Pearl,Ebony,1,0,1,Don Ayres Acura,5,4.7,4,500,17799
Acura,ZDX Base,2010,97400,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,All-wheel Drive,Gasoline,,Gray,Gray,,,,,,4.7,14,,16500
Acura,ZDX Base,2012,0,3.7L V6 24V MPFI SOHC,6-Speed Automatic,All-wheel Drive,Gasoline,16-23,Crystal Black Pearl,Ebony,0,0,1,Genesis of Downers Grove,,4.7,4,,22490
Acura,ILX 2.0L,2014,134399,2.0L I4 16V MPFI SOHC,5-Speed Automatic,Front-wheel Drive,Gasoline,24-35,Black,Ebony,0,0,1,United Auto Sales,,4.7,32,,13995
Acura,ILX Premium Package,2019,40948,2.4L I4 16V GDI DOHC,8-Speed Automatic with Auto-Shift,Front-wheel Drive,Gasoline,24-34,Performance Red Pearl,Ebony,0,0,1,Off Lease Only Miami,5,4.7,26,400,21399
Acura,ILX Premium Package,2016,70325,2.4L I4 16V GDI DOHC,Automatic,Front-wheel Drive,Gasoline,,Crystal Black Pearl,Graystone,1,0,1,AutoLenders Egg Harbor Township,4.1,4.4,44,,18887
Acura,ILX 2.0L w/Premium Package,2014,56615,2.0L I4 16V MPFI SOHC,5-Speed Automatic,Front-wheel Drive,Gasoline,,Silver,Ebony,0,0,1,House of Kars,4.4,4.7,32,1000,17995
Acura,ILX Base,2019,24340,2.4L I4 16V GDI DOHC,8-Speed Automatic with Auto-Shift,Front-wheel Drive,Gasoline,24-34,Black,Ebony,0,0,0,Dana Ford Lincoln,4.5,4.7,26,,22750
Acura,ILX Base,2018,33047,"2.4L I-4 gasoline direct injection, DOHC, i-VTEC variable valve",Automatic,Front-wheel Drive,Gasoline,25-35,Lunar Silver Metallic,Graystone,1,0,1,Matthews Motors Goldsboro,4.7,4.6,20,,22477
Acura,ILX 2.0L Technology,2015,160197,2.0L I4 16V MPFI SOHC,5-Speed Automatic,Front-wheel Drive,Gasoline,,White,Parchment,0,0,1,JQ MotorSports,4.1,4.7,23,,11990
Acura,ILX,2019,29503,2.4L I4 16V GDI DOHC,8-Speed Automatic with Auto-Shift,Front-wheel Drive,Gasoline,24-34,White,Tan,,,,CarMax Naples - Offering Express Pickup and Home Delivery,,4.7,26,,25998
Acura,ILX 2.0L Technology,2013,55720,2.0L I4 16V MPFI SOHC,5-Speed Automatic,Front-wheel Drive,Gasoline,,Amber Brownstone,Parchment,0,0,1,Honda of Downtown Chicago,1.5,4.6,47,500,17001
Acura,ILX Base,2018,89019,Premium Unleaded I-4 2.4 L/144,Automatic,Front-wheel Drive,Gasoline,25-35,Bellanova White Pearl,Parchment,0,0,1,Pohanka Acura,4.8,4.6,20,172,18981
Acura,ILX Base,2019,32606,2.4L I4 16V GDI DOHC,8-Speed Automatic with Auto-Shift,Front-wheel Drive,Gasoline,24-34,Majestic Black Pearl,Ebony,0,0,1,Bergstrom Imports on Victory Lane,,4.7,26,353,23177
Acura,ILX Technology Package,2020,68436,"2.4L I-4 gasoline direct injection, DOHC, i-VTEC variable valve",Automatic,Front-wheel Drive,Gasoline,24-34,Platinum White Pearl,Red,1,0,0,Turn Auto Mall,,4.6,17,6500,17995
Acura,ILX 2.0L,2015,85945,2.0L I4 16V MPFI SOHC,5-Speed Automatic,Front-wheel Drive,Gasoline,24-35,Blue,,1,0,0,Gene Gorman's Auto Sales,3.6,4.7,23,500,17990
Acura,ILX 2.0L Technology,2014,72191,2.0L I4 16V MPFI SOHC,5-Speed Automatic,Front-wheel Drive,Gasoline,,Crimson Garnet,Parchment,0,0,1,Jaguar Land Rover Buckhead,3.2,4.7,32,400,15900
Acura,ILX 2.0L w/Premium Package,2013,73451,2.0L I4 16V MPFI SOHC,5-Speed Automatic,Front-wheel Drive,Gasoline,,Bellanova White Pearl,,0,0,0,Lindsay Honda,3.4,4.6,47,290,15625
Acura,ILX Premium Package,2019,30471,2.4L I4 16V GDI DOHC,8-Speed Automatic with Auto-Shift,Front-wheel Drive,Gasoline,24-34,Lunar Silver Metallic,,0,1,1,DARCARS Toyota Silver Spring,4.5,4.7,26,108,24500
Acura,ILX Premium Package,2019,23743,2.4L I4 16V GDI DOHC,8-Speed Automatic with Auto-Shift,Front-wheel Drive,Gasoline,24-34,Gray,Ebony,0,1,1,Napleton Hyundai of Carmel,3.9,4.7,26,,24000
Acura,ILX,2017,44520,2.4L I4 16V GDI DOHC,8-Speed Automatic with Auto-Shift,Front-wheel Drive,Gasoline,25-35,Black,Ebony,1,0,1,Magic City Auto,,4.7,38,,17999
Acura,ILX Base,2019,55285,2.4L I4 16V GDI DOHC,8-Speed Automatic with Auto-Shift,Front-wheel Drive,Gasoline,24-34,Performance Red Pearl,Ebony,1,0,1,HGreg.com Orlando,4.8,4.7,26,,19998
Acura,ILX 2.0L,2014,71015,2.0L I4 16V MPFI SOHC,5-Speed Automatic,Front-wheel Drive,Gasoline,24-35,Gray,,1,0,1,Auto Boutique,4.8,4.7,32,,15000
Acura,ILX Premium Package,2020,38254,2.4L I4 16V GDI DOHC,8-Speed Automatic with Auto-Shift,Front-wheel Drive,Gasoline,24-34,Performance Red,Graystone,1,1,1,Grand Motorcars,2.6,4.6,17,,24621
Acura,ILX Base,2021,12302,2.4L I4 16V GDI DOHC,8-Speed Automatic with Auto-Shift,Front-wheel Drive,Gasoline,24-34,Platinum White Pearl,Ebony,0,1,1,"Napleton Florida - Delivery from West Palm Beach, Florida for Naples/Fort Myers",,4.9,3,333,24546
Acura,ILX Premium Package,2022,1843,2.4L I4 16V GDI DOHC,8-Speed Automatic with Auto-Shift,Front-wheel Drive,Gasoline,24-34,Majestic Black Pearl,Ebony,0,1,0,Lindsay Acura,3.6,,0,,30779
Acura,ILX TECHNOLOGY&A-SPEC PACKAGES,2021,41430,2.4L I4 16V GDI DOHC,8-Speed Automatic with Auto-Shift,Front-wheel Drive,Gasoline,24-34,Apex Blue Pearl,Red,0,1,1,Basil Volkswagen of Lockport,4.4,4.9,3,500,28499
Acura,ILX A-SPEC,2020,33880,2.4L I4 16V GDI DOHC,8-Speed Automatic with Auto-Shift,Front-wheel Drive,Gasoline,24-34,Platinum White Pearl,Red,0,0,0,Anchor Auto Group - Subaru Nissan,4.3,4.6,17,1000,27981
Acura,ILX Premium & A-SPEC Packages,2020,23518,2.4L I4 16V GDI DOHC,8-Speed Automatic with Auto-Shift,Front-wheel Drive,Gasoline,24-34,Majestic Black Pearl,Red,1,1,1,Toyota of Massapequa,2.4,4.6,17,1900,25995
